image,region_precision,region_recall,region_iou,region_dice,edge_precision,edge_recall,edge_iou,edge_dice
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot-15_aug00.jpg,0.9704250693321228,0.9966025352478027,0.9672253131866455,0.9833396077156067,0.9986848831176758,0.9963264465332031,0.9950209856033325,0.9975042939186096
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot-15_aug01.jpg,0.9657608270645142,0.9947801232337952,0.9608913660049438,0.9800556898117065,0.9997352957725525,0.998150110244751,0.9978864192962646,0.9989420771598816
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot-15_aug02.jpg,0.971919596195221,0.9975208640098572,0.9695775508880615,0.9845538139343262,1.0,0.998400866985321,0.998400866985321,0.9991998076438904
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot-15_aug03.jpg,0.9766292572021484,0.9957618117332458,0.972586452960968,0.9861027598381042,1.0,0.9994531273841858,0.9994531273841858,0.9997264742851257
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot-15_aug04.jpg,0.9728660583496094,0.9948131442070007,0.9679561257362366,0.9837172031402588,0.9994588494300842,0.979840874671936,0.979321300983429,0.9895526170730591
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot00_aug00.jpg,0.9785141348838806,0.9966691732406616,0.9753246903419495,0.987508237361908,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot00_aug01.jpg,0.970123827457428,0.9940666556358337,0.9645386934280396,0.9819493293762207,0.9986353516578674,0.9948341250419617,0.9934835433959961,0.996731162071228
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot00_aug02.jpg,0.9793572425842285,0.9961024522781372,0.9756186008453369,0.9876588582992554,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot00_aug03.jpg,0.9745753407478333,0.9950936436653137,0.9699146747589111,0.9847276210784912,0.998866856098175,0.998583972454071,0.997454047203064,0.998725414276123
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot00_aug04.jpg,0.9737809896469116,0.9977430701255798,0.9716407656669617,0.9856164455413818,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot15_aug00.jpg,0.9726592302322388,0.9940946102142334,0.9670714139938354,0.9832600951194763,1.0,0.9782040119171143,0.9782040119171143,0.9889819025993347
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot15_aug01.jpg,0.9695872068405151,0.9963054656982422,0.9661135673522949,0.9827647805213928,0.9994351863861084,0.9969013929367065,0.9963400959968567,0.9981666803359985
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot15_aug02.jpg,0.9713752269744873,0.9966335892677307,0.9681984782218933,0.9838423132896423,0.9997081160545349,0.9994164109230042,0.9991248250007629,0.9995622634887695
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot15_aug03.jpg,0.9743033051490784,0.99637770652771,0.9708644151687622,0.9852168560028076,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100641_rot15_aug04.jpg,0.9766162037849426,0.9941600561141968,0.9710454344749451,0.9853100180625916,1.0,0.9954531788825989,0.9954531788825989,0.9977213740348816
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot-15_aug00.jpg,0.970806360244751,0.9950557351112366,0.966145932674408,0.9827814698219299,0.9994954466819763,0.998236358165741,0.9977335929870605,0.9988654851913452
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot-15_aug01.jpg,0.9760333895683289,0.9944995045661926,0.9707927107810974,0.9851799011230469,0.9990106225013733,0.9977766871452332,0.9967917203903198,0.9983932971954346
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot-15_aug02.jpg,0.9788439869880676,0.9944978952407837,0.9735715985298157,0.9866088628768921,0.9989661574363708,0.9971620440483093,0.9961340427398682,0.9980632662773132
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot-15_aug03.jpg,0.9738770127296448,0.9943453073501587,0.9685131311416626,0.9840047359466553,0.9991825819015503,0.9943058490753174,0.9934976696968079,0.9967382550239563
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot-15_aug04.jpg,0.9758044481277466,0.994938850402832,0.9709846377372742,0.9852787256240845,0.9989484548568726,0.9952855110168457,0.994243860244751,0.9971136450767517
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot00_aug00.jpg,0.9777656197547913,0.9954126477241516,0.9733795523643494,0.9865102171897888,0.9994359612464905,0.9955056309700012,0.9949466586112976,0.9974669218063354
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot00_aug01.jpg,0.9738481044769287,0.9957191348075867,0.9697877764701843,0.9846621751785278,0.999151349067688,0.9863166809082031,0.9854910969734192,0.9926925301551819
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot00_aug02.jpg,0.9788751006126404,0.9950315356254578,0.9741138219833374,0.9868871569633484,1.0,0.9991423487663269,0.9991423487663269,0.9995710253715515
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot00_aug03.jpg,0.9807133078575134,0.9950598478317261,0.975961446762085,0.9878345131874084,0.9979971647262573,0.9997133612632751,0.9977116584777832,0.9988545179367065
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot00_aug04.jpg,0.9805118441581726,0.9957641363143921,0.9764391183853149,0.9880791306495667,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot15_aug00.jpg,0.9779183864593506,0.9941615462303162,0.9723342061042786,0.985973060131073,0.9947659373283386,0.9982491731643677,0.9930334091186523,0.9965044856071472
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot15_aug01.jpg,0.9792231321334839,0.9949852824211121,0.9744141697883606,0.9870412945747375,1.0,0.9984843730926514,0.9984843730926514,0.9992415904998779
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot15_aug02.jpg,0.9760385155677795,0.9927873611450195,0.9691662192344666,0.9843417406082153,1.0,0.992837131023407,0.992837131023407,0.9964056611061096
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot15_aug03.jpg,0.9774728417396545,0.994612991809845,0.9723252058029175,0.9859684705734253,1.0,0.9964413046836853,0.9964413046836853,0.9982174634933472
..\data_preprocessed\IBF\out_images\GA 1_PB100642_rot15_aug04.jpg,0.9641154408454895,0.9944994449615479,0.9590015411376953,0.9790717959403992,0.9988597631454468,0.9977220892906189,0.9965870380401611,0.9982905983924866
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot-15_aug00.jpg,0.9821795225143433,0.9947208166122437,0.9770863652229309,0.9884104132652283,1.0,0.9997332692146301,0.9997332692146301,0.9998666048049927
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot-15_aug01.jpg,0.9809571504592896,0.9940720200538635,0.975252091884613,0.9874710440635681,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot-15_aug02.jpg,0.9789236187934875,0.9937960505485535,0.9729776382446289,0.9863037467002869,1.0,0.9969240427017212,0.9969240427017212,0.9984596371650696
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot-15_aug03.jpg,0.980077862739563,0.9944868087768555,0.9747815728187561,0.9872297644615173,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot-15_aug04.jpg,0.979367733001709,0.9955627918243408,0.9751113653182983,0.9873988628387451,1.0,1.0,1.0,1.0
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot00_aug00.jpg,0.9712815880775452,0.995341420173645,0.9668861627578735,0.9831643104553223,0.9801716208457947,0.9966897368431091,0.9769911766052246,0.988361656665802
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot00_aug01.jpg,0.975275993347168,0.9937382340431213,0.9693191051483154,0.9844205379486084,0.9996870160102844,0.9978131651878357,0.99750155210495,0.9987491965293884
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot00_aug02.jpg,0.9758199453353882,0.9914862513542175,0.967711329460144,0.9835907220840454,1.0,0.9996811151504517,0.9996811151504517,0.9998405575752258
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot00_aug03.jpg,0.9761298298835754,0.9939590692520142,0.9703730344772339,0.9849637746810913,1.0,0.9987519383430481,0.9987519383430481,0.999375581741333
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot00_aug04.jpg,0.9761049151420593,0.9926329851150513,0.9690845012664795,0.9842995405197144,0.9996923208236694,0.9996923208236694,0.9993848204612732,0.9996923208236694
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot15_aug00.jpg,0.981767475605011,0.9945085048675537,0.976473867893219,0.9880969524383545,0.9997397065162659,0.9979215264320374,0.997662365436554,0.9988297820091248
..\data_preprocessed\IBF\out_images\GA 1_PB100643_rot15_aug01.jpg,0.976830780506134,0.9902653694152832,0.9675399661064148,0.983502209186554,0.9994083046913147,0.9976373314857483,0.9970483779907227,0.9985220432281494
