image,precision,recall,iou,dice,edge_precision,edge_recall,edge_iou,edge_dice
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120321.JPG,0.964873194694519,0.9913725852966309,0.956838846206665,0.9779434204101562,0.5620619058609009,0.5532509684562683,0.38659873604774475,0.5576216578483582
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120322.JPG,0.9577073454856873,0.9850217700004578,0.9439606070518494,0.971172571182251,0.5614697337150574,0.54190993309021,0.38075441122055054,0.5515164732933044
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120323.JPG,0.9643264412879944,0.98995041847229,0.9549776911735535,0.9769704341888428,0.5609186291694641,0.5469354391098022,0.3829716742038727,0.5538387894630432
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120326.JPG,0.9552682042121887,0.9800601005554199,0.9370560646057129,0.9675053358078003,0.6196092367172241,0.5736194849014282,0.4242255985736847,0.5957280993461609
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120327.JPG,0.9646247625350952,0.9930222630500793,0.958130419254303,0.9786175489425659,0.5324112176895142,0.5363560914993286,0.3646068274974823,0.5343763828277588
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120331.JPG,0.9725187420845032,0.975330650806427,0.9491708278656006,0.9739226698875427,0.5368213653564453,0.5518785715103149,0.37385833263397217,0.5442458391189575
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120333.JPG,0.9613564014434814,0.9899884462356567,0.9521000981330872,0.9754623770713806,0.6197807192802429,0.6129774451255798,0.44546303153038025,0.6163603067398071
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120334.JPG,0.9717496037483215,0.9898645281791687,0.9621759653091431,0.9807234406471252,0.625232458114624,0.6106019020080566,0.4470006227493286,0.6178305745124817
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120335.JPG,0.9833981394767761,0.9790709018707275,0.9631511569023132,0.9812297821044922,0.6294254064559937,0.6216760277748108,0.4551028609275818,0.6255267262458801
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120336.JPG,0.9677273035049438,0.9884476065635681,0.9569045305252075,0.9779777526855469,0.5856549143791199,0.5659587383270264,0.4041377902030945,0.5756383538246155
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120337.JPG,0.968498945236206,0.9937446117401123,0.9626302719116211,0.9809593558311462,0.5816549062728882,0.5666167140007019,0.4025612771511078,0.5740373730659485
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120338.JPG,0.9731266498565674,0.9875048995018005,0.9612900614738464,0.9802630543708801,0.6158159375190735,0.6033664345741272,0.4383600950241089,0.609527587890625
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120339.JPG,0.9725605845451355,0.9909182190895081,0.9639682173728943,0.9816535711288452,0.6794677972793579,0.6706402897834778,0.5094626545906067,0.6750251650810242
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120343.JPG,0.9665760397911072,0.9885954260826111,0.9559170603752136,0.9774617552757263,0.6038625240325928,0.5934838056564331,0.427172988653183,0.5986281633377075
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120344.JPG,0.9724529981613159,0.986175000667572,0.9593742489814758,0.9792659282684326,0.6252959370613098,0.6245861053466797,0.45448288321495056,0.6249408721923828
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120345.JPG,0.9687598943710327,0.9805331230163574,0.9504792094230652,0.9746109843254089,0.6330201029777527,0.586258590221405,0.43754854798316956,0.6087426543235779
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120347.JPG,0.9754005670547485,0.9855983257293701,0.9616938829421997,0.9804729223251343,0.6921959519386292,0.6969788670539856,0.5320730209350586,0.6945791840553284
..\data_preprocessed\IBF\images\Zona Rehabilitasi Air_P9120348.JPG,0.9753884673118591,0.9912595748901367,0.9670712351799011,0.9832599759101868,0.6983084082603455,0.6890197396278381,0.5309633612632751,0.6936330199241638
